year,nbDocument
2009,260415
2010,266171
2011,238295
2012,59898
2013,24621
2014,295
2019,1
2642,3
2649,2
2653,1
2654,1
2658,1
2671,1
2689,2
2726,1
2971,1
2994,1
2995,6
2996,1
2997,4
3995,2
4725,1
4987,1
5480,1
5493,1
5525,1
5663,1
5782,1
5786,1
6464,1
6641,2
7051,1
7518,1
7995,1
8093,1
8694,1
9061,1
9167,1
9175,1

